date,home_team,away_team,home_score,away_score,tournament
1951-04-15,Netherlands,Belgium,5,4,Friendly
1951-05-09,England,Argentina,2,1,Friendly
1951-05-19,England,Portugal,5,2,Friendly
1951-06-03,Italy,France,4,1,Friendly
1951-06-10,Belgium,Spain,3,3,Friendly
1951-06-17,Portugal,Belgium,1,1,Friendly
1951-10-03,England,France,2,2,Friendly
1951-11-25,Netherlands,Belgium,6,7,Friendly
1952-02-24,Belgium,Italy,2,0,Friendly
1952-03-23,Mexico,Uruguay,1,3,Pan American Championship
1952-04-06,Belgium,Netherlands,4,2,Friendly
1952-04-06,Brazil,Mexico,2,0,Pan American Championship
1952-04-16,Brazil,Uruguay,4,2,Pan American Championship
1952-04-20,France,Portugal,3,0,Friendly
1952-05-18,Italy,England,1,1,Friendly
1952-05-22,Belgium,France,1,2,Friendly
1952-10-05,France,Germany,3,1,Friendly
1952-10-19,Belgium,Netherlands,2,1,Friendly
1952-11-26,England,Belgium,5,0,Friendly
1952-12-07,Spain,Argentina,0,1,Friendly
1952-12-14,Portugal,Argentina,1,3,Friendly
1952-12-25,France,Belgium,0,1,Friendly
1952-12-28,Spain,Germany,2,2,Friendly
1953-03-15,Brazil,Uruguay,1,0,Copa América
1953-03-19,Spain,Belgium,3,1,Friendly
1953-04-19,Netherlands,Belgium,0,2,Friendly
1953-05-14,Argentina,England,3,1,Friendly
1953-05-17,Argentina,England,0,0,Friendly
1953-05-31,Uruguay,England,2,1,Friendly
1953-06-08,United States,England,3,6,Friendly
1953-07-05,Argentina,Spain,1,0,Friendly
1953-10-25,Netherlands,Belgium,1,0,Friendly
1954-01-10,Mexico,United States,4,0,FIFA World Cup qualification
1954-01-14,Mexico,United States,3,1,FIFA World Cup qualification
1954-03-14,Belgium,Portugal,0,0,Friendly
1954-04-04,Belgium,Netherlands,4,0,Friendly
1954-04-11,France,Italy,1,3,Friendly
1954-05-30,Belgium,France,3,3,Friendly
1954-06-16,Brazil,Mexico,5,0,FIFA World Cup
1954-06-17,Belgium,England,4,4,FIFA World Cup
1954-06-19,France,Mexico,3,2,FIFA World Cup
1954-06-20,Belgium,Italy,1,4,FIFA World Cup
1954-06-26,England,Uruguay,2,4,FIFA World Cup
1954-09-26,Belgium,Germany,2,0,Friendly
1954-10-16,Germany,France,1,3,Friendly
1954-10-24,Belgium,Netherlands,4,3,Friendly
1954-11-11,France,Belgium,2,2,Friendly
1954-11-28,Portugal,Argentina,1,3,Friendly
1954-12-01,England,Germany,3,1,Friendly
1954-12-05,Italy,Argentina,2,0,Friendly
1954-12-19,Portugal,Germany,0,3,Friendly
1955-01-16,Italy,Belgium,1,0,Friendly
1955-03-17,Spain,France,1,2,Friendly
1955-03-27,Argentina,Uruguay,6,1,Copa América
1955-03-30,Germany,Italy,1,2,Friendly
1955-04-03,Netherlands,Belgium,1,0,Friendly
1955-05-15,France,England,1,0,Friendly
1955-05-18,Spain,England,1,1,Friendly
1955-05-22,Portugal,England,3,1,Friendly
1955-10-16,Netherlands,Belgium,2,2,Friendly
1955-11-30,England,Spain,4,1,Friendly
1955-12-18,Italy,Germany,2,1,Friendly
1955-12-25,Belgium,France,2,1,Friendly
1956-02-05,Argentina,Brazil,0,1,Copa América
1956-02-10,Uruguay,Brazil,0,0,Copa América
1956-02-15,Italy,France,2,0,Friendly
1956-02-15,Uruguay,Argentina,1,0,Copa América
1956-03-08,Mexico,Brazil,1,2,Pan American Championship
1956-03-13,Mexico,Argentina,0,0,Pan American Championship
1956-03-14,Germany,Netherlands,1,2,Friendly
1956-03-18,Argentina,Brazil,2,2,Pan American Championship
1956-04-08,Belgium,Netherlands,0,1,Friendly
1956-04-08,Portugal,Brazil,0,1,Friendly
1956-04-25,Italy,Brazil,3,0,Friendly
1956-05-09,England,Brazil,4,2,Friendly
1956-05-26,Germany,England,1,3,Friendly
1956-06-03,Portugal,Spain,3,1,Friendly
1956-06-24,Argentina,Italy,1,0,Friendly
1956-06-24,Brazil,Uruguay,2,0,Atlantic Cup
1956-07-01,Brazil,Italy,2,0,Friendly
1956-07-01,Uruguay,Argentina,1,2,Atlantic Cup
1956-07-08,Argentina,Brazil,0,0,Atlantic Cup
1956-10-10,Uruguay,Argentina,1,2,Friendly
1956-10-14,Belgium,Netherlands,2,3,Friendly
1956-11-11,France,Belgium,6,3,FIFA World Cup qualification
1956-11-14,Argentina,Uruguay,2,2,Friendly
1956-12-23,Germany,Belgium,4,1,Friendly
1957-01-30,Spain,Netherlands,5,1,Friendly
1957-03-13,Argentina,Colombia,8,2,Copa América
1957-03-17,Colombia,Uruguay,1,0,Copa América
1957-03-20,Argentina,Uruguay,4,0,Copa América
1957-03-24,Brazil,Colombia,9,0,Copa América
1957-03-28,Brazil,Uruguay,2,3,Copa América
1957-03-31,Belgium,Spain,0,5,Friendly
1957-04-03,Argentina,Brazil,3,0,Copa América
1957-04-03,Netherlands,Germany,1,2,Friendly
1957-04-07,Mexico,United States,6,0,FIFA World Cup qualification
1957-04-28,Netherlands,Belgium,1,1,Friendly
1957-04-28,United States,Mexico,2,7,FIFA World Cup qualification
1957-05-23,Uruguay,Argentina,0,0,Copa Newton
1957-05-26,Portugal,Italy,3,0,FIFA World Cup qualification
1957-06-05,Argentina,Uruguay,1,1,Copa Lipton
1957-06-11,Brazil,Portugal,2,1,Friendly
1957-06-16,Brazil,Portugal,3,0,Friendly
1957-06-16,Colombia,Uruguay,1,1,FIFA World Cup qualification
1957-06-30,Uruguay,Colombia,1,0,FIFA World Cup qualification
1957-07-07,Brazil,Argentina,1,2,Copa Roca
1957-07-10,Brazil,Argentina,2,0,Copa Roca
1957-10-27,Belgium,France,0,0,FIFA World Cup qualification
1957-11-17,Netherlands,Belgium,5,2,Friendly
1957-11-27,England,France,4,0,Friendly
1957-12-22,Italy,Portugal,3,0,FIFA World Cup qualification
1958-03-02,Belgium,Germany,0,2,Friendly
1958-03-13,France,Spain,2,2,Friendly
1958-03-19,Germany,Spain,2,0,Friendly
1958-04-06,Uruguay,Argentina,1,0,Friendly
1958-04-13,Belgium,Netherlands,2,7,Friendly
1958-04-13,Spain,Portugal,1,0,Friendly
1958-04-30,Argentina,Uruguay,2,0,Friendly
1958-05-07,England,Portugal,2,1,Friendly
1958-06-08,Argentina,Germany,1,3,FIFA World Cup
1958-06-11,Brazil,England,0,0,FIFA World Cup
1958-06-24,Brazil,France,5,2,FIFA World Cup
1958-06-28,France,Germany,6,3,FIFA World Cup
1958-09-28,Belgium,Netherlands,2,3,Friendly
1958-10-26,France,Germany,2,2,Friendly
1958-11-09,France,Italy,2,2,Friendly
1959-02-28,Italy,Spain,1,1,Friendly
1959-03-01,France,Belgium,2,2,Friendly
1959-03-26,Brazil,Uruguay,3,1,Copa América
1959-03-30,Argentina,Uruguay,4,1,Copa América
1959-04-04,Argentina,Brazil,1,1,Copa América
1959-04-19,Netherlands,Belgium,2,2,Friendly
1959-05-06,England,Italy,2,2,Friendly
1959-05-13,Brazil,England,2,0,Friendly
1959-05-24,Mexico,England,2,1,Friendly
1959-05-28,United States,England,1,8,Friendly
1959-10-04,Netherlands,Belgium,9,1,Friendly
1959-10-21,Germany,Netherlands,7,0,Friendly
1959-11-11,France,Portugal,5,3,Friendly
1959-12-12,Brazil,Uruguay,0,3,Copa América
1959-12-16,Argentina,Uruguay,0,5,Copa América
1959-12-17,France,Spain,4,3,Friendly
1959-12-22,Argentina,Brazil,4,1,Copa América
1960-02-28,Belgium,France,1,0,Friendly
1960-03-06,Brazil,Mexico,2,2,Pan American Championship
1960-03-10,Argentina,Mexico,3,2,Pan American Championship
1960-03-13,Argentina,Brazil,2,1,Pan American Championship
1960-03-13,Spain,Italy,3,1,Friendly
1960-03-15,Brazil,Mexico,2,1,Pan American Championship
1960-03-17,Argentina,Mexico,2,0,Pan American Championship
1960-03-20,Argentina,Brazil,0,1,Pan American Championship
1960-04-24,Belgium,Netherlands,2,1,Friendly
1960-04-27,Germany,Portugal,2,1,Friendly
1960-05-15,Spain,England,3,0,Friendly
1960-05-26,Argentina,Brazil,4,2,Copa Roca
1960-05-29,Argentina,Brazil,1,4,Copa Roca
1960-06-26,Mexico,Netherlands,3,1,Friendly
1960-07-09,Uruguay,Brazil,1,0,Atlantic Cup
1960-07-12,Brazil,Argentina,5,1,Atlantic Cup
1960-07-24,Argentina,Spain,2,0,Friendly
1960-08-17,Argentina,Uruguay,4,0,Atlantic Cup
1960-10-02,Belgium,Netherlands,1,4,Friendly
1960-10-26,England,Spain,4,2,Friendly
1960-11-03,United States,Mexico,3,3,FIFA World Cup qualification
1960-11-06,Mexico,United States,3,0,FIFA World Cup qualification
1961-02-05,Colombia,United States,2,0,Friendly
1961-03-08,Germany,Belgium,1,0,Friendly
1961-03-15,France,Belgium,1,1,Friendly
1961-03-22,Netherlands,Belgium,6,2,Friendly
1961-04-02,Spain,France,2,0,Friendly
1961-04-19,Netherlands,Mexico,1,2,Friendly
1961-05-10,England,Mexico,8,0,Friendly
1961-05-21,Portugal,England,1,1,FIFA World Cup qualification
1961-05-24,Italy,England,2,3,Friendly
1961-06-04,Portugal,Argentina,0,2,Friendly
1961-06-11,Spain,Argentina,2,0,Friendly
1961-06-15,Italy,Argentina,4,1,Friendly
1961-10-18,Belgium,France,3,0,Friendly
1961-10-25,England,Portugal,2,0,FIFA World Cup qualification
1961-11-12,Morocco,Spain,0,1,FIFA World Cup qualification
1961-11-12,Netherlands,Belgium,0,4,Friendly
1961-11-23,Spain,Morocco,3,2,FIFA World Cup qualification
1961-12-10,France,Spain,1,1,Friendly
1962-03-13,Uruguay,Argentina,1,1,Friendly
1962-03-28,Argentina,Mexico,1,0,Friendly
1962-04-01,Belgium,Netherlands,3,1,Friendly
1962-04-01,Colombia,Mexico,0,1,Friendly
1962-04-04,Colombia,Mexico,2,2,Friendly
1962-04-11,Germany,Uruguay,3,0,Friendly
1962-04-25,Mexico,Colombia,1,0,Friendly
1962-05-05,Italy,France,2,1,Friendly
1962-05-06,Brazil,Portugal,2,1,Friendly
1962-05-09,Brazil,Portugal,1,0,Friendly
1962-05-13,Belgium,Italy,1,3,Friendly
1962-05-17,Portugal,Belgium,1,2,Friendly
1962-05-30,Brazil,Mexico,2,0,FIFA World Cup
1962-05-30,Colombia,Uruguay,1,2,FIFA World Cup
1962-05-31,Germany,Italy,0,0,FIFA World Cup
1962-06-02,Argentina,England,1,3,FIFA World Cup
1962-06-03,Mexico,Spain,0,1,FIFA World Cup
1962-06-06,Brazil,Spain,2,1,FIFA World Cup
1962-06-10,Brazil,England,3,1,FIFA World Cup
1962-08-15,Argentina,Uruguay,3,1,Copa Lipton
1962-10-03,England,France,1,1,UEFA Euro qualification
1962-10-14,Belgium,Netherlands,2,0,Friendly
1962-10-24,Germany,France,2,2,Friendly
1962-12-02,Belgium,Spain,1,1,Friendly
1963-01-09,Spain,France,0,0,Friendly
1963-02-27,France,England,5,2,UEFA Euro qualification
1963-03-03,Netherlands,Belgium,0,1,Friendly
1963-03-10,Argentina,Colombia,4,2,Copa América
1963-03-14,Brazil,Colombia,5,1,Copa América
1963-03-24,Argentina,Brazil,3,0,Copa América
1963-04-13,Brazil,Argentina,2,3,Copa Roca
1963-04-16,Brazil,Argentina,5,2,Copa Roca
1963-04-17,Netherlands,France,1,0,Friendly
1963-04-18,Senegal,France,2,0,African Friendship Games
1963-04-21,Portugal,Brazil,1,0,Friendly
1963-04-24,Belgium,Brazil,5,1,Friendly
1963-04-28,France,Brazil,2,3,Friendly
1963-05-02,Netherlands,Brazil,1,0,Friendly
1963-05-05,Germany,Brazil,1,2,Friendly
1963-05-08,England,Brazil,1,1,Friendly
1963-05-12,Italy,Brazil,3,0,Friendly
1963-10-20,Netherlands,Belgium,1,1,Friendly
1963-12-01,Spain,Belgium,1,2,Friendly
1963-12-25,France,Belgium,1,2,Friendly
1963-12-29,Morocco,Germany,1,4,Friendly
1964-03-22,Belgium,Netherlands,0,0,Friendly
1964-05-03,Belgium,Portugal,1,2,Friendly
1964-05-06,England,Uruguay,2,1,Friendly
1964-05-17,Portugal,England,3,4,Friendly
1964-05-27,United States,England,0,10,Friendly
1964-05-30,Brazil,England,5,1,Friendly
1964-05-31,Argentina,Portugal,2,0,Friendly
1964-06-03,Brazil,Argentina,0,3,Friendly
1964-06-04,England,Portugal,1,1,Friendly
1964-06-06,Argentina,England,1,0,Friendly
1964-06-07,Brazil,Portugal,4,1,Friendly
1964-09-30,Belgium,Netherlands,1,0,Friendly
1964-10-21,England,Belgium,2,2,Friendly
1964-11-15,Portugal,Spain,2,1,Friendly
1964-12-02,Belgium,France,3,0,Friendly
1964-12-09,Netherlands,England,1,1,Friendly
1965-03-07,United States,Mexico,2,2,FIFA World Cup qualification
1965-03-12,Mexico,United States,2,0,FIFA World Cup qualification
1965-03-13,Germany,Italy,1,1,Friendly
1965-05-12,Germany,England,0,1,Friendly
1965-06-02,Brazil,Belgium,5,0,Friendly
1965-06-03,France,Argentina,0,0,Friendly
1965-06-06,Brazil,Germany,2,0,Friendly
1965-06-09,Brazil,Argentina,0,0,Friendly
1965-06-24,Portugal,Brazil,0,0,Friendly
1965-09-07,Brazil,Uruguay,3,0,Friendly
1965-12-08,Spain,England,0,2,Friendly
1966-02-23,England,Germany,1,0,Friendly
1966-03-19,France,Italy,0,0,Friendly
1966-03-23,Netherlands,Germany,2,4,Friendly
1966-04-17,Netherlands,Belgium,3,1,Friendly
1966-04-20,France,Belgium,0,3,Friendly
1966-06-22,Italy,Argentina,3,0,Friendly
1966-06-23,Spain,Uruguay,1,1,Friendly
1966-06-26,Portugal,Uruguay,3,0,Friendly
1966-06-29,Italy,Mexico,5,0,Friendly
1966-07-11,England,Uruguay,0,0,FIFA World Cup
1966-07-13,Argentina,Spain,2,1,FIFA World Cup
1966-07-13,France,Mexico,1,1,FIFA World Cup
1966-07-15,France,Uruguay,1,2,FIFA World Cup
1966-07-16,Argentina,Germany,0,0,FIFA World Cup
1966-07-16,England,Mexico,2,0,FIFA World Cup
1966-07-19,Brazil,Portugal,1,3,FIFA World Cup
1966-07-19,Mexico,Uruguay,0,0,FIFA World Cup
1966-07-20,England,France,2,0,FIFA World Cup
1966-07-20,Germany,Spain,2,1,FIFA World Cup
1966-07-23,England,Argentina,1,0,FIFA World Cup
1966-07-23,Germany,Uruguay,4,0,FIFA World Cup
1966-07-26,England,Portugal,2,1,FIFA World Cup
1966-07-30,England,Germany,4,2,FIFA World Cup
1966-11-11,Belgium,France,2,1,UEFA Euro qualification
1967-02-02,Uruguay,Argentina,1,0,Copa América
1967-02-22,Germany,Morocco,5,1,Friendly
1967-03-27,Italy,Portugal,1,1,Friendly
1967-04-16,Belgium,Netherlands,1,0,Friendly
1967-05-24,England,Spain,2,0,Friendly
1967-06-25,Uruguay,Brazil,0,0,Copa Rio Branco
1967-06-28,Uruguay,Brazil,2,2,Copa Rio Branco
1967-07-01,Uruguay,Brazil,1,1,Copa Rio Branco
1967-08-22,Mexico,Argentina,2,1,Friendly
1967-09-27,Germany,France,5,1,Friendly
1967-10-28,France,Belgium,1,1,UEFA Euro qualification
1968-03-06,Belgium,Germany,1,3,Friendly
1968-03-26,Mexico,Japan,4,0,Friendly
1968-04-03,England,Spain,1,0,UEFA Euro qualification
1968-04-07,Netherlands,Belgium,1,2,Friendly
1968-05-08,Spain,England,1,2,UEFA Euro qualification
1968-05-21,Mexico,Uruguay,3,3,Friendly
1968-05-28,Mexico,Uruguay,2,2,Friendly
1968-06-01,Germany,England,1,0,Friendly
1968-06-05,Argentina,Uruguay,2,0,Copa Lipton
1968-06-09,Brazil,Uruguay,2,0,Copa Rio Branco
1968-06-12,Brazil,Uruguay,4,0,Copa Rio Branco
1968-06-16,Germany,Brazil,2,1,Friendly
1968-06-20,Uruguay,Argentina,2,1,Copa Newton
1968-06-30,Portugal,Brazil,0,2,Friendly
1968-07-07,Mexico,Brazil,0,2,Friendly
1968-07-10,Mexico,Brazil,2,1,Friendly
1968-08-07,Brazil,Argentina,4,1,Friendly
1968-08-11,Brazil,Argentina,3,2,Friendly
1968-09-25,France,Germany,1,1,Friendly
1968-10-16,Colombia,Mexico,0,1,Friendly
1968-10-17,France,Spain,1,3,Friendly
1968-10-26,Uruguay,Mexico,0,2,Friendly
1968-10-31,Brazil,Mexico,1,2,Friendly
1968-11-03,Brazil,Mexico,2,1,Friendly
1968-11-03,Morocco,Senegal,1,0,FIFA World Cup qualification
1968-12-11,Spain,Belgium,1,1,FIFA World Cup qualification
1968-12-14,Brazil,Germany,2,2,Friendly
1968-12-22,Mexico,Germany,0,0,Friendly
1969-01-01,Mexico,Italy,2,3,Friendly
1969-01-05,Mexico,Italy,1,1,Friendly
1969-01-05,Senegal,Morocco,2,1,FIFA World Cup qualification
1969-02-04,Mexico,Colombia,1,0,Friendly
1969-02-13,Morocco,Senegal,2,0,FIFA World Cup qualification
1969-02-23,Belgium,Spain,2,1,FIFA World Cup qualification
1969-03-12,England,France,5,0,Friendly
1969-04-06,Portugal,Mexico,0,0,Friendly
1969-04-16,Belgium,Mexico,2,0,Friendly
1969-04-23,Spain,Mexico,0,0,Friendly
1969-06-01,Mexico,England,0,0,Friendly
1969-06-03,Mexico,England,0,4,Friendly
1969-06-08,Uruguay,England,1,2,Friendly
1969-06-12,Brazil,England,2,1,Friendly
1969-07-02,Colombia,Uruguay,0,1,Friendly
1969-08-06,Colombia,Brazil,0,2,FIFA World Cup qualification
1969-08-21,Brazil,Colombia,6,2,FIFA World Cup qualification
1969-11-05,Mexico,Belgium,1,0,Friendly
1969-11-05,Netherlands,England,0,1,Friendly
1969-12-10,England,Portugal,1,0,Friendly
1970-01-14,England,Netherlands,0,0,Friendly
1970-02-11,Spain,Germany,2,0,Friendly
1970-02-21,Spain,Italy,2,2,Friendly
1970-02-25,Belgium,England,1,3,Friendly
1970-03-04,Brazil,Argentina,0,2,Friendly
1970-03-08,Brazil,Argentina,2,1,Friendly
1970-04-08,Argentina,Uruguay,2,1,Friendly
1970-04-15,Uruguay,Argentina,2,1,Friendly
1970-05-10,Portugal,Italy,1,2,Friendly
1970-05-20,Colombia,England,0,4,Friendly
1970-06-03,Germany,Morocco,2,1,FIFA World Cup
1970-06-06,Italy,Uruguay,0,0,FIFA World Cup
1970-06-07,Brazil,England,1,0,FIFA World Cup
1970-06-11,Mexico,Belgium,1,0,FIFA World Cup
1970-06-14,England,Germany,2,3,FIFA World Cup
1970-06-14,Mexico,Italy,1,4,FIFA World Cup
1970-06-17,Brazil,Uruguay,3,1,FIFA World Cup
1970-06-17,Germany,Italy,3,4,FIFA World Cup
1970-06-20,Germany,Uruguay,1,0,FIFA World Cup
1970-06-21,Brazil,Italy,4,1,FIFA World Cup
1970-09-30,Brazil,Mexico,2,1,Friendly
1970-11-15,Belgium,France,1,2,Friendly
1971-01-08,Argentina,France,3,4,Friendly
1971-01-13,Argentina,France,2,0,Friendly
1971-02-17,Belgium,Portugal,3,0,UEFA Euro qualification
1971-02-20,Italy,Spain,1,2,Friendly
1971-03-17,Spain,France,2,2,Friendly
1971-07-14,Argentina,Uruguay,1,0,Friendly
1971-07-18,Uruguay,Argentina,1,1,Friendly
1971-07-28,Argentina,Brazil,1,1,Copa Roca
1971-07-31,Argentina,Brazil,2,2,Copa Roca
1971-09-08,Germany,Mexico,5,0,Friendly
1971-09-25,Italy,Mexico,2,0,Friendly
1971-11-21,Portugal,Belgium,1,1,UEFA Euro qualification
1972-02-17,Senegal,Morocco,1,3,Friendly
1972-04-29,England,Germany,1,3,UEFA Euro qualification
1972-04-29,Italy,Belgium,0,0,UEFA Euro qualification
1972-05-13,Belgium,Italy,2,1,UEFA Euro qualification
1972-05-13,Germany,England,0,0,UEFA Euro qualification
1972-05-23,Spain,Uruguay,2,0,Friendly
1972-06-14,Belgium,Germany,1,2,UEFA Euro
1972-06-18,Colombia,France,2,3,Brazil Independence Cup
1972-06-22,Argentina,Colombia,4,1,Brazil Independence Cup
1972-06-25,Argentina,France,0,0,Brazil Independence Cup
1972-06-29,Argentina,Portugal,1,3,Brazil Independence Cup
1972-07-02,Portugal,Uruguay,1,1,Brazil Independence Cup
1972-07-06,Argentina,Uruguay,1,0,Brazil Independence Cup
1972-07-09,Brazil,Portugal,1,0,Brazil Independence Cup
1972-09-03,Mexico,United States,3,1,CONCACAF Championship qualification
1972-09-10,United States,Mexico,1,2,CONCACAF Championship qualification
1972-10-11,Spain,Argentina,1,0,Friendly
1972-11-19,Belgium,Netherlands,0,0,FIFA World Cup qualification
1972-11-19,Morocco,Senegal,0,0,FIFA World Cup qualification
1972-12-03,Senegal,Morocco,1,2,FIFA World Cup qualification
1973-02-06,Mexico,Argentina,2,0,Friendly
1973-02-14,Germany,Argentina,2,3,Friendly
1973-02-17,Morocco,Senegal,3,1,Friendly
1973-03-03,France,Portugal,1,2,Friendly
1973-05-02,Netherlands,Spain,3,2,Friendly
1973-05-17,Argentina,Uruguay,1,1,Copa Lipton
1973-05-23,Uruguay,Argentina,1,1,Copa Newton
1973-06-09,Italy,Brazil,2,0,Friendly
1973-06-14,Italy,England,2,0,Friendly
1973-06-16,Germany,Brazil,0,1,Friendly
1973-06-24,Colombia,Uruguay,0,0,FIFA World Cup qualification
1973-07-05,Uruguay,Colombia,0,1,FIFA World Cup qualification
1973-10-13,Germany,France,2,1,Friendly
1973-10-16,Mexico,United States,2,0,Friendly
1973-11-14,England,Italy,0,1,Friendly
1973-11-18,Netherlands,Belgium,0,0,FIFA World Cup qualification
1973-11-24,Germany,Spain,2,1,Friendly
1974-02-23,Spain,Germany,1,0,Friendly
1974-02-26,Italy,Germany,0,0,Friendly
1974-03-31,Brazil,Mexico,1,1,Friendly
1974-04-03,Portugal,England,0,0,Friendly
1974-05-18,France,Argentina,0,1,Friendly
1974-05-22,England,Argentina,2,2,Friendly
1974-05-26,Netherlands,Argentina,4,1,Friendly
1974-06-15,Uruguay,Netherlands,0,2,FIFA World Cup
1974-06-19,Argentina,Italy,1,1,FIFA World Cup
1974-06-26,Netherlands,Argentina,4,0,FIFA World Cup
1974-06-30,Argentina,Brazil,1,2,FIFA World Cup
1974-07-03,Netherlands,Brazil,2,0,FIFA World Cup
1974-07-07,Germany,Netherlands,2,1,FIFA World Cup
1974-09-05,Mexico,United States,3,1,Friendly
1974-09-08,United States,Mexico,0,1,Friendly
1974-10-12,Argentina,Spain,1,1,Friendly
1974-10-12,Belgium,France,2,1,UEFA Euro qualification
1974-11-20,England,Portugal,0,0,UEFA Euro qualification
1974-11-20,Netherlands,Italy,3,1,UEFA Euro qualification
1975-03-09,Brazil,Portugal,2,1,Friendly
1975-03-12,England,Germany,2,0,Friendly
1975-03-22,Morocco,Senegal,4,0,African Cup of Nations qualification
1975-03-22,Senegal,Morocco,2,1,African Cup of Nations qualification
1975-04-02,Italy,United States,10,0,Friendly
1975-04-26,France,Portugal,0,2,Friendly
1975-04-30,Belgium,Netherlands,1,0,Friendly
1975-05-17,Germany,Netherlands,1,1,Friendly
1975-07-18,Uruguay,Argentina,2,3,Copa Newton
1975-08-06,Brazil,Argentina,2,1,Copa América
1975-08-16,Argentina,Brazil,0,1,Copa América
1975-08-21,Argentina,United States,6,0,Friendly
1975-08-24,Mexico,United States,2,0,Friendly
1975-08-31,Mexico,Argentina,1,1,Friendly
1975-09-21,Colombia,Uruguay,3,0,Copa América
1975-10-01,Uruguay,Colombia,1,0,Copa América
1975-11-15,France,Belgium,0,0,UEFA Euro qualification
1975-11-19,Portugal,England,1,1,UEFA Euro qualification
1975-11-22,Italy,Netherlands,1,0,UEFA Euro qualification
1976-02-25,Uruguay,Brazil,1,2,Copa Rio Branco
1976-02-27,Argentina,Brazil,1,2,Copa Roca
1976-04-07,Italy,Portugal,3,1,Friendly
1976-04-08,Argentina,Uruguay,4,1,Copa Lipton
1976-04-24,Spain,Germany,1,1,UEFA Euro qualification
1976-04-25,Netherlands,Belgium,5,0,UEFA Euro qualification
1976-04-28,Brazil,Uruguay,2,1,Copa Rio Branco
1976-05-19,Brazil,Argentina,2,0,Copa Roca
1976-05-22,Belgium,Netherlands,1,2,UEFA Euro qualification
1976-05-22,Germany,Spain,2,0,UEFA Euro qualification
1976-05-23,Brazil,England,1,0,Friendly
1976-05-28,England,Italy,3,2,Friendly
1976-05-31,Brazil,Italy,4,1,Friendly
1976-06-04,Mexico,Brazil,0,3,Friendly
1976-06-09,Uruguay,Argentina,0,3,Copa Newton
1976-10-03,United States,Mexico,0,0,CONCACAF Championship qualification
1976-10-15,Colombia,Uruguay,1,2,Friendly
1976-10-15,Mexico,United States,3,0,CONCACAF Championship qualification
1976-11-17,Italy,England,2,0,FIFA World Cup qualification
1976-12-22,Portugal,Italy,2,1,Friendly
1977-01-26,Italy,Belgium,2,1,Friendly
1977-02-09,England,Netherlands,0,2,Friendly
1977-02-20,Colombia,Brazil,0,0,FIFA World Cup qualification
1977-02-23,France,Germany,1,0,Friendly
1977-03-09,Brazil,Colombia,6,0,FIFA World Cup qualification
1977-03-26,Belgium,Netherlands,0,2,FIFA World Cup qualification
1977-05-28,Senegal,Morocco,3,2,Friendly
1977-06-05,Argentina,Germany,1,3,Friendly
1977-06-08,Brazil,England,0,0,Friendly
1977-06-08,Uruguay,Germany,0,2,Friendly
1977-06-12,Argentina,England,1,1,Friendly
1977-06-12,Brazil,Germany,1,1,Friendly
1977-06-14,Mexico,Germany,2,2,Friendly
1977-06-15,Uruguay,England,0,0,Friendly
1977-06-26,Argentina,France,0,0,Friendly
1977-06-30,Brazil,France,2,2,Friendly
1977-09-27,Mexico,United States,3,0,Friendly
1977-10-08,Germany,Italy,2,1,Friendly
1977-10-26,Netherlands,Belgium,1,0,FIFA World Cup qualification
1977-11-16,England,Italy,2,0,FIFA World Cup qualification
1977-12-21,Belgium,Italy,0,1,Friendly
1978-01-25,Spain,Italy,2,1,Friendly
1978-02-08,Italy,France,2,2,Friendly
1978-02-22,Germany,England,2,1,Friendly
1978-03-08,France,Portugal,2,0,Friendly
1978-04-01,France,Brazil,1,0,Friendly
1978-04-05,Germany,Brazil,0,1,Friendly
1978-04-19,England,Brazil,1,1,Friendly
1978-04-25,Uruguay,Argentina,2,0,Friendly
1978-04-26,Spain,Mexico,2,0,Friendly
1978-05-03,Argentina,Uruguay,3,0,Friendly
1978-05-24,Uruguay,Spain,0,0,Friendly
1978-06-02,France,Italy,1,2,FIFA World Cup
1978-06-06,Argentina,France,2,1,FIFA World Cup
1978-06-06,Germany,Mexico,6,0,FIFA World Cup
1978-06-07,Brazil,Spain,0,0,FIFA World Cup
1978-06-10,Argentina,Italy,0,1,FIFA World Cup
1978-06-14,Germany,Italy,0,0,FIFA World Cup
1978-06-18,Argentina,Brazil,0,0,FIFA World Cup
1978-06-18,Germany,Netherlands,2,2,FIFA World Cup
1978-06-21,Italy,Netherlands,1,2,FIFA World Cup
1978-06-24,Brazil,Italy,2,1,FIFA World Cup
1978-06-25,Argentina,Netherlands,3,1,FIFA World Cup
1978-09-20,Portugal,United States,1,0,Friendly
1978-10-11,Portugal,Belgium,1,1,UEFA Euro qualification
1978-11-08,France,Spain,1,0,Friendly
1978-12-20,Germany,Netherlands,3,1,Friendly
1978-12-21,Italy,Spain,1,0,Friendly
1979-02-24,Italy,Netherlands,3,0,Friendly
1979-05-02,United States,France,0,6,Friendly
1979-05-22,Argentina,Netherlands,0,0,FIFA 75th Anniversary Cup
1979-05-26,Italy,Argentina,2,2,Friendly
1979-05-31,Brazil,Uruguay,5,1,Friendly
1979-08-02,Brazil,Argentina,2,1,Copa América
1979-08-23,Argentina,Brazil,2,2,Copa América
1979-09-12,Germany,Argentina,2,1,Friendly
1979-09-26,Netherlands,Belgium,1,0,Friendly
1979-09-26,Spain,Portugal,1,1,Friendly
1979-10-10,France,United States,3,0,Friendly
